Id,Facility Name,Address,Lat,Long,Average Waiting Time,Google Maps Rating,Doctors Number,OFFICE_PHONE,EMAIL,WEBSITE
45,Cyrus Chang Clinic Toronto,"14 College St #601, Toronto, ON M5G 1K2, Canada",43.6613954,-79.3839419,,0,1,,,
46,Karl Farcnik Clinic Toronto,"120 Carlton St Suite 412, Toronto, ON M5A 4K2, Canada",43.6626406,-79.3763025,,3,1,,,
47,Allison Mcgee Clinic Toronto,"1240 Bay St 9th Floor, Toronto, ON M5R 2A7, Canada",43.6702995,-79.390164,,3,1,833-797-4663,l info@wellpoint.ca,https://www.wellpoint.ca/
48,Lukasz Drzymala Clinic Toronto,"5 Junction Rd, Toronto, ON M6N 1B5, Canada",43.668522,-79.461997,,4,1,,,
49,Hilary De Veber Clinic Toronto,"840 Coxwell Ave, Toronto, ON M4C 2V3, Canada",43.6900399,-79.3272159,,0,1,,,
50,Sohail Cheema Clinic Toronto,"100 King St W, Toronto, ON M5X 1E1, Canada",43.6486362,-79.3817439,,3.3,1,,,
51,Caroline Calpin Clinic Toronto,"1723 Kipling Ave, Etobicoke, ON M9R 4E1, Canada",43.6926358,-79.5571084,,2.5,1,,,
52,Southern Ontario Epilepsy Clinic,"190 Sherway Dr Suite # 208, Etobicoke, ON M9C 5N2, Canada",43.6086724,-79.5602732,,4.4,1,(416) 620-7632,,http://www.seizuredoc.com/
53,Anthony Dipierdomenico Clinic Toronto,"2425 Bloor St W, Toronto, ON M6S 4W4, Canada",43.6492074,-79.4836349,,4.2,1,,,
54,Bryan Woo Clinic Toronto,"600 Sherbourne St, Toronto, ON M4X 1W4, Canada",43.6717966,-79.3767948,,5,1,,,
55,Collette Paquin Clinic Toronto,"80 College St, Toronto, ON M5G 2E2, Canada",43.6607676,-79.3872533,,1.5,1,,,
56,Ken Mandadakis Clinic Toronto,"300 York Mills Rd, North York, ON M2L 2Y5, Canada",43.7482843,-79.3850513,,5,1,4164413937,juliana@youreyedoctor.ca,http://www.youreyedoctor.ca/
57,Yorkville Sports Medical Clinic,"55 Avenue Rd Suite 2000A, Toronto, ON M5R 3L2, Canada",43.6715255,-79.3945958,,5,1,(416) 880-7246,info@yorkvillesportsmed.com,https://www.yorkvillesportsmed.com/
58,Lorraine Philp Clinic Toronto,"1240 Bay St Suite 700, Toronto, ON M5R 2A7, Canada",43.6702995,-79.3901641,,5,1,,,
59,Robert Heyding Clinic Toronto,"795 Eglinton Ave E, East York, ON M4G 4E4, Canada",43.7131467,-79.3662281,,4.6,1,,,
60,Melissa Tai Clinic Toronto,"29 Gervais Dr, North York, ON M3C 1Z1, Canada",43.7238041,-79.3372141,,3.7,1,,,
61,Rob Urback Clinic Toronto,"960 Lawrence Ave W, North York, ON M6A 3B6, Canada",43.7138929,-79.4574908,,4.9,1,,,
62,Edward Ryan Clinic Toronto,"56 Aberfoyle Crescent Suite 100, Etobicoke, ON M8X 2W4, Canada",43.6460005,-79.522844,,5,1,416-231-4100,,http://www.torontofertility.com/index.html
63,Nature's Intentions Naturopathic Clinic,"1849 Yonge St #614, Toronto, ON M4S 1Y2, Canada",43.696974,-79.3958391,,4.7,1,4169134325,info@naturesintentionsnaturopathy.com,https://www.naturesintentionsnaturopathy.com/
64,Loraine Manzig Clinic Toronto,"2401 Yonge St, Toronto, ON M4P 3H1, Canada",43.7099926,-79.398698,,4,1,,,
65,The Village Health Clinic,"537 Mt Pleasant Rd, Toronto, ON M4S 2M5, Canada",43.7027025,-79.3876734,,5,2,(647) 341-3348,,
66,Monika Kiepas Clinic Toronto,"81 St Clair Ave E, Toronto, ON M4T 1M7, Canada",43.688479,-79.39077,,4.7,1,,,
67,Canada Medlaser Clinics,"249 Queens Quay W, Toronto, ON M5J 2N5, Canada",43.6386988,-79.3858323,,4.6,1,(647) 493-3131,info@canadamedlaser.ca,https://canadamedlaser.ca/
68,Ingrid Lorde Clinic Toronto,"1849 Yonge St, Toronto, ON M4S 1Y2, Canada",43.696949,-79.3958409,,5,1,,,
69,Jane Toyota Clinic Toronto,"313 Jane St, Toronto, ON M6S 3Z3, Canada",43.6568797,-79.48741,,4.7,1,,,
70,Dr. Beata Grygowski Clinic,"2900 Bloor St W, Etobicoke, ON M8X 1B5, Canada",43.6486106,-79.5064375,,3.7,1,(416) 232-1687,,http://drgrygowski.com/
71,Mohammed Al-Omran Clinic Toronto,"30 Bond St, Toronto, ON M5B 1W8, Canada",43.6529691,-79.3776369,,3.5,1,,,
72,Garry Morrow Clinic Toronto,"840 Coxwell Ave, East York, ON M4C 5T2, Canada",43.6900163,-79.3271038,,2.9,1,,,
73,Roberto Tutino Clinic Toronto,"150 Sherway Dr, Etobicoke, ON M9C 1A4, Canada",43.6090384,-79.5618179,,4.2,1,,,
74,Plasty Clinic,"2075 Bayview Ave, Toronto, ON M4N 3M5, Canada",43.7216776,-79.3761816,,4.5,1,6479316718,info@plasty.ca,http://www.plasty.ca/
75,Michael Yanofsky Clinic Toronto,"294 Main St, Toronto, ON M4C 4X5, Canada",43.6876767,-79.3020784,,5,1,,,
76,Farah Karimi Clinic Toronto,"6093 Yonge St, North York, ON M2M 3W2, Canada",43.791074,-79.417814,,4.2,1,416-225-1500,info@walkindentalclinic.ca,https://www.walkindentalclinic.ca/
77,Whalid Farhat Clinic Toronto,"2 Champagne Dr, Toronto, ON M3J 0K2, Canada",43.7672651,-79.471721,,2.8,1,,,
